"data";"valor"
"01/09/2016";"15464,3"
"01/10/2016";"13428,5"
"01/11/2016";"15919,7"
"01/12/2016";"15649,4"
"01/01/2017";"14627,3"
"01/02/2017";"15321,3"
"01/03/2017";"19838,6"
"01/04/2017";"17470,8"
"01/05/2017";"19572,9"
"01/06/2017";"19527,5"
"01/07/2017";"18550,0"
"01/08/2017";"19249,3"
"01/09/2017";"18453,6"
"01/10/2017";"18662,5"
"01/11/2017";"16493,6"
"01/12/2017";"17330,1"
"01/01/2018";"16730,2"
"01/02/2018";"17242,4"
"01/03/2018";"20056,1"
"01/04/2018";"19496,6"
"01/05/2018";"19114,9"
"01/06/2018";"19910,8"
"01/07/2018";"22334,7"
"01/08/2018";"21340,6"
"01/09/2018";"18932,9"
"01/10/2018";"21674,5"
"01/11/2018";"20672,9"
"01/12/2018";"19113,5"
"01/01/2019";"17695,3"
"01/02/2019";"15471,2"
"01/03/2019";"17220,6"
"01/04/2019";"19030,7"
"01/05/2019";"20297,8"
"01/06/2019";"18176,8"
"01/07/2019";"19881,5"
"01/08/2019";"19385,7"
"01/09/2019";"20027,7"
"01/10/2019";"19245,9"
"01/11/2019";"17440,9"
"01/12/2019";"18228,3"
"01/01/2020";"14192,7"
"01/02/2020";"15385,9"
"01/03/2020";"18008,4"
"01/04/2020";"17385,2"
"01/05/2020";"17175,1"
"01/06/2020";"17172,0"
"01/07/2020";"19066,0"
"01/08/2020";"17061,3"
"01/09/2020";"17860,5"
"01/10/2020";"17296,3"
"01/11/2020";"17094,0"
"01/12/2020";"18081,7"
"01/01/2021";"14670,1"
"01/02/2021";"16095,6"
"01/03/2021";"24169,7"
"01/04/2021";"25725,7"
"01/05/2021";"25970,7"
"01/06/2021";"28851,5"
"01/07/2021";"25254,6"
"01/08/2021";"26953,6"
"01/09/2021";"24173,0"
"01/10/2021";"22402,6"
"01/11/2021";"20242,5"
"01/12/2021";"24147,1"
"01/01/2022";"19569,9"
"01/02/2022";"23363,5"
"01/03/2022";"29306,8"
"01/04/2022";"28847,7"
"01/05/2022";"29576,9"
"01/06/2022";"32723,9"
"01/07/2022";"29730,5"
"01/08/2022";"30740,4"
"01/09/2022";"29828,0"
"01/10/2022";"27146,9"
"01/11/2022";"27936,5"
"01/12/2022";"26562,7"
"01/01/2023";"22680,5"
"01/02/2023";"21025,8"
"01/03/2023";"32759,5"
"01/04/2023";"27866,6"
"01/05/2023";"32549,5"
"01/06/2023";"29570,2"
"01/07/2023";"28260,2"
"01/08/2023";"31235,8"
"01/09/2023";"28688,1"
"01/10/2023";"29613,4"
"01/11/2023";"27944,0"
"01/12/2023";"28690,2"
"01/01/2024";"27001,4"
"01/02/2024";"23612,1"
